kelas,subject,date,time_start,time_end
XI - H,Bahasa Indonesia Tingkat Lanjut,2025-12-10,11:30,13:00
XI - H,Prakarya dan Kewirausahaan,2025-12-11,07:30,09:00
XI - H,Bahasa Sunda,2025-12-11,09:30,11:00
XI - H,Fisika,2025-12-11,11:30,13:00
XI - H,Informatika,2025-12-12,07:30,09:00
XI - H,Seni Budaya (Musik),2025-12-12,09:30,11:00
XI - I,Pend. Agama dan Budi Pekerti,2025-12-8,07:30,09:00
XI - I,Pendidikan Pancasila,2025-12-8,09:30,11:00
XI - I,Bahasa Indonesia,2025-12-8,11:30,13:00
XI - I,Matematika,2025-12-9,07:30,09:00
XI - I,Bahasa Inggris,2025-12-9,09:30,11:00
XI - I,Penjasorkes,2025-12-9,11:30,13:00
XI - I,Geografi,2025-12-10,07:30,09:00
XI - I,Sejarah,2025-12-10,09:30,11:00
XI - I,Ekonomi,2025-12-10,11:30,13:00
XI - I,Prakarya dan Kewirausahaan,2025-12-11,07:30,09:00
XI - I,Bahasa Sunda,2025-12-11,09:30,11:00
XI - I,Bahasa Inggris Tingkat Lanjut,2025-12-11,11:30,13:00
XI - I,Informatika,2025-12-12,07:30,09:00
XI - I,Seni Budaya (Rupa),2025-12-12,09:30,11:00
XI - J,Pend. Agama dan Budi Pekerti,2025-12-8,07:30,09:00
XI - J,Pendidikan Pancasila,2025-12-8,09:30,11:00
XI - J,Bahasa Indonesia,2025-12-8,11:30,13:00
XI - J,Matematika,2025-12-9,07:30,09:00
XI - J,Bahasa Inggris,2025-12-9,09:30,11:00
XI - J,Penjasorkes,2025-12-9,11:30,13:00
XI - J,Geografi,2025-12-10,07:30,09:00
XI - J,Sejarah,2025-12-10,09:30,11:00
XI - J,Sosiologi,2025-12-10,11:30,13:00
XI - J,Prakarya dan Kewirausahaan,2025-12-11,07:30,09:00
XI - J,Bahasa Sunda,2025-12-11,09:30,11:00
XI - J,Bahasa Inggris Tingkat Lanjut,2025-12-11,11:30,13:00
XI - J,Sejarah Tingkat Lanjut,2025-12-12,07:30,09:00
XI - J,Seni Budaya (Rupa),2025-12-12,09:30,11:00
XI - K,Pend. Agama dan Budi Pekerti,2025-12-8,07:30,09:00
XI - K,Pendidikan Pancasila,2025-12-8,09:30,11:00
XI - K,Bahasa Indonesia,2025-12-8,11:30,13:00
XI - K,Matematika,2025-12-9,07:30,09:00
XI - K,Bahasa Inggris,2025-12-9,09:30,11:00
XI - K,Penjasorkes,2025-12-9,11:30,13:00
XI - K,Bahasa dan Sastra Arab,2025-12-10,07:30,09:00
XI - K,Sejarah,2025-12-10,09:30,11:00
XI - K,Sosiologi,2025-12-10,11:30,13:00
XI - K,Prakarya dan Kewirausahaan,2025-12-11,07:30,09:00
XI - K,Bahasa Sunda,2025-12-11,09:30,11:00
XI - K,Kimia,2025-12-11,11:30,13:00
XI - K,Informatika,2025-12-12,07:30,09:00
XI - K,Seni Budaya (Rupa),2025-12-12,09:30,11:00
XI - L,Pend. Agama dan Budi Pekerti,2025-12-8,07:30,09:00
XI - L,Pendidikan Pancasila,2025-12-8,09:30,11:00
XI - L,Bahasa Indonesia,2025-12-8,11:30,13:00
XI - L,Matematika,2025-12-9,07:30,09:00
XI - L,Bahasa Inggris,2025-12-9,09:30,11:00
XI - L,Penjasorkes,2025-12-9,11:30,13:00
XI - L,Bahasa dan Sastra Arab,2025-12-10,07:30,09:00
XI - L,Sejarah,2025-12-10,09:30,11:00
XI - L,Sosiologi,2025-12-10,11:30,13:00
XI - L,Prakarya dan Kewirausahaan,2025-12-11,07:30,09:00
XI - L,Bahasa Sunda,2025-12-11,09:30,11:00
XI - L,Kimia,2025-12-11,11:30,13:00
XI - L,Informatika,2025-12-12,07:30,09:00
XI - L,Seni Budaya (Rupa),2025-12-12,09:30,11:00
X - B,Pend. Agama dan Budi Pekerti,2025-12-8,07:30,09:00
X - B,Pendidikan Pancasila,2025-12-8,09:30,11:00
X - B,Bahasa Indonesia,2025-12-8,11:30,13:00
X - B,Matematika,2025-12-9,07:30,09:00
X - B,Bahasa Inggris,2025-12-9,09:30,11:00
X - B,Penjasorkes,2025-12-9,11:30,13:00
X - B,Biologi,2025-12-10,07:30,09:00
X - B,Sejarah,2025-12-10,09:30,11:00
X - B,Kimia,2025-12-10,11:30,13:00
X - B,Sosiologi,2025-12-11,07:30,09:00
X - B,Bahasa Sunda,2025-12-11,09:30,11:00
X - B,Fisika,2025-12-11,11:30,13:00
X - B,Informatika,2025-12-12,07:30,09:00
